,Symbol,Company Name,Industry,Market Cap
180,AGTI,Agiliti,Health Information Services,2.60B
181,AGX,Argan,Construction & Engineering,591.51M
182,AGYS,Agilysys,Software,1.12B
183,AHCO,AdaptHealth,Health Care Providers & Services,2.89B
184,AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts...,912.13M
185,AHI,Advanced Human Imaging,Software-Application,51.23M
186,AHPA,Avista Public Acquisition II,Blank Check / SPAC,286.35M
187,AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,21.39M
188,AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts...,348.71M
189,AI,C3.ai,Software,3.53B
190,AIG,American International Group,Insurance,45.16B
191,AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,58.52M
192,AIHS,Senmiao Technology,Consumer Finance,28.73M
193,AIKI,AIkido Pharma,Biotechnology,62.24M
194,AIM,AIM ImmunoTech,Biotechnology,55.50M
195,AIMC,Altra Industrial Motion,Machinery,3.45B
196,AIN,Albany International,Machinery,2.82B
197,AINC,Ashford,Capital Markets,49.87M
198,AINV,Apollo Investment,Capital Markets,857.20M
199,AIP,Arteris,Semiconductors,757.11M
200,AIR,AAR Corp.,Aerospace & Defense,1.26B
201,AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts...,8.21B
202,AIRG,Airgain,"Electronic Equipment, Instruments & C...",102.06M
203,AIRI,Air Industries Group,Aerospace & Defense,31.55M
204,AIRS,AirSculpt Technologies,Medical Care Facilities,725.55M
205,AIRT,Air T,Air Freight & Logistics,77.87M
206,AIT,Applied Industrial Technologies,Trading Companies & Distributors,3.95B
207,AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts...,1.19B
208,AIZ,Assurant,Insurance,8.83B
209,AJG,Arthur J. Gallagher & Company,Insurance,35.15B
210,AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3.43B
211,AJX,Great Ajax,Mortgage Real Estate Investment Trus...,293.45M
212,AKA,a.k.a. Brands Holding,Internet Retail,1.40B
213,AKAM,Akamai Technologies,IT Services,18.36B
214,AKBA,Akebia Therapeutics,Biotechnology,437.40M
215,AKIC,Sports Ventures Acquisition,Blank Check / SPAC,286.75M
216,AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.82B
217,AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1.94B
218,AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts...,1.89B
219,AKRO,Akero Therapeutics,Biotechnology,693.58M
220,AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",352.87M
221,AKTX,Akari Therapeutics,Pharmaceuticals,74.25M
222,AKU,Akumin,Diagnostics & Research,147.78M
223,AKUS,Akouos,Biotechnology,276.30M
224,AKYA,Akoya Biosciences,Medical Instruments & Supplies,476.26M
225,AL,Air Lease,Trading Companies & Distributors,5.07B
226,ALAC,Alberton Acquisition,Blank Check / SPAC,52.06M
227,ALB,Albemarle,Chemicals,30.75B
228,ALBO,Albireo Pharma,Biotechnology,415.07M
229,ALC,Alcon,Medical Instruments & Supplies,41.25B
230,ALCC,AltC Acquisition,Blank Check / SPAC,633.10M
231,ALCO,Alico,Food Products,274.84M
232,ALDX,Aldeyra Therapeutics,Biotechnology,402.58M
233,ALE,ALLETE,Electric Utilities,3.31B
234,ALEC,Alector,Biotechnology,1.75B
235,ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts...,1.76B
236,ALF,"ALFI, Inc.",Software-Infrastructure,44.48M
237,ALG,Alamo Group,Machinery,1.78B
238,ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,6.43B
