Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2002554,SYNNEX Corp.,SNX,0.01%,Technology Distributors,US,---,"$142,727,680.80","1,172,205"
,B0GLYB5,RBC Bearings Inc.,ROLL,0.01%,Industrial Machinery,US,---,"$141,943,765.86","711,783"
,2926825,Valmont Industries Inc.,VMI,0.01%,Construction & Engineering,US,---,"$141,925,062.50","601,250"
,B3D7K31,Discovery Inc.,DISCA,0.01%,Broadcasting,US,---,"$141,607,712.48","4,615,636"
,2645078,National Instruments Corp.,NATI,0.01%,Electronic Equipment & Instruments,US,---,"$141,485,834.28","3,346,401"
,BDT5KT5,Inspire Medical Systems Inc.,INSP,0.01%,Health Care Technology,US,---,"$141,235,181.04","730,804"
,2473138,Rayonier Inc.,RYN,0.01%,Specialized REITs,US,---,"$140,928,670.16","3,922,312"
,B1HMMS7,Spirit AeroSystems Holdings Inc.,SPR,0.01%,Aerospace & Defense,US,---,"$140,665,178.94","2,980,826"
,BZ22CY6,Rapid7 Inc.,RPD,0.01%,Systems Software,US,---,"$139,539,505.40","1,474,580"
,2296937,IDACORP Inc.,IDA,0.01%,Electric Utilities,US,---,"$139,490,715.00","1,430,674"
,B828K63,TG Therapeutics Inc.,TGTX,0.01%,Biotechnology,US,---,"$139,303,617.75","3,591,225"
,2762030,Alliance Data Systems Corp.,ADS,0.01%,Data Processing & Outsourced Services,US,---,"$139,210,238.61","1,336,119"
,2311711,Erie Indemnity Co.,ERIE,0.01%,Property & Casualty Insurance,US,---,"$139,009,755.90","718,954"
,2248693,Integra LifeSciences Holdings Corp.,IART,0.01%,Health Care Equipment,US,---,"$138,964,072.48","2,036,402"
,2630085,Neogen Corp.,NEOG,0.01%,Health Care Supplies,US,---,"$138,951,482.40","3,018,060"
,BJ1C2K1,Element Solutions Inc.,ESI,0.01%,Specialty Chemicals,US,---,"$138,748,867.18","5,934,511"
,B1BHXZ2,Evercore Inc.,EVR,0.01%,Investment Banking & Brokerage,US,---,"$138,745,445.86","985,618"
,2197308,Cirrus Logic Inc.,CRUS,0.01%,Semiconductors,US,---,"$138,566,592.64","1,627,897"
,BFY8W20,ASGN Inc.,ASGN,0.01%,Human Resource & Employment Services,US,---,"$138,201,630.84","1,425,788"
,BJ5FZ74,Adaptive Biotechnologies Corp.,ADPT,0.01%,Life Sciences Tools & Services,US,---,"$138,136,014.90","3,380,715"
,2766173,Selective Insurance Group Inc.,SIGI,0.01%,Property & Casualty Insurance,US,---,"$137,859,892.20","1,698,828"
,2241205,Curtiss-Wright Corp.,CW,0.01%,Aerospace & Defense,US,---,"$137,846,988.44","1,160,719"
,2062161,Agree Realty Corp.,ADC,0.01%,Retail REITs,US,---,"$137,005,139.39","1,943,611"
,2117232,Boyd Gaming Corp.,BYD,0.01%,Casinos & Gaming,US,---,"$136,704,690.98","2,223,202"
,BK6L288,Beam Therapeutics Inc.,BEAM,0.01%,Biotechnology,US,---,"$136,452,035.21","1,060,151"
,2945143,Webster Financial Corp.,WBS,0.01%,Regional Banks,US,---,"$136,344,560.94","2,556,141"
,2619772,PacWest Bancorp,PACW,0.01%,Regional Banks,US,---,"$136,275,038.76","3,310,861"
,BFWGXR8,Essent Group Ltd.,ESNT,0.01%,Thrifts & Mortgage Finance,US,---,"$136,025,262.70","3,026,146"
,B5VX1H6,HollyFrontier Corp.,HFC,0.01%,Oil & Gas Refining & Marketing,US,---,"$135,981,424.60","4,133,174"
,B2QH310,Iridium Communications Inc.,IRDM,0.01%,Alternative Carriers,US,---,"$135,938,646.84","3,399,316"
,B081VQ7,Lazard Ltd.,LAZ,0.01%,Investment Banking & Brokerage,US,---,"$135,798,462.75","3,001,071"
,2809250,Simpson Manufacturing Co. Inc.,SSD,0.01%,Building Products,US,---,"$135,553,945.56","1,227,399"
,BFNXVB8,Sterling Bancorp/DE,STL,0.01%,Regional Banks,US,---,"$135,501,222.77","5,465,963"
,2378200,Goodyear Tire & Rubber Co.,GT,0.01%,Tires & Rubber,US,---,"$135,397,751.57","7,894,912.63"
,BP3YM74,CareDx Inc.,CDNA,0.01%,Biotechnology,US,---,"$134,417,712.00","1,468,725"
,2711656,New York Community Bancorp Inc.,NYCB,0.01%,Thrifts & Mortgage Finance,US,---,"$134,254,125.40","12,182,770"
,2889768,3D Systems Corp.,DDD,0.01%,"Technology Hardware, Storage & Periphera",US,---,"$134,107,903.58","3,355,214"
,2355582,First Citizens BancShares Inc./NC,FCNCA,0.01%,Regional Banks,US,---,"$133,702,236.18","160,557"
,BZ19HB0,Qurate Retail Inc.,QRTEA,0.01%,Internet & Direct Marketing Retail,US,---,"$133,429,236.71","10,193,219"
,2905794,United Bankshares Inc./WV,UBSI,0.01%,Regional Banks,US,---,"$133,425,312.00","3,655,488"
,2420640,Highwoods Properties Inc.,HIW,0.01%,Office REITs,US,---,"$133,336,103.41","2,951,873"
,BYYXHN4,Wingstop Inc.,WING,0.01%,Restaurants,US,---,"$132,352,610.83","839,641"
,2133045,Power Integrations Inc.,POWI,0.01%,Semiconductors,US,---,"$132,277,109.36","1,611,956"
,2351449,FTI Consulting Inc.,FCN,0.01%,Research & Consulting Services,US,---,"$131,956,926.79","965,939"
,BRJ9GW0,New Residential Investment Corp.,NRZ,0.01%,Mortgage REITs,US,---,"$131,487,197.94","12,416,166"
,2717591,Quidel Corp.,QDEL,0.01%,Health Care Supplies,US,---,"$131,127,488.88","1,023,474"
,BYVMVV0,Park Hotels & Resorts Inc.,PK,0.01%,Hotel & Resort REITs,US,---,"$131,091,759.90","6,360,590"
,BMTD3M6,Open Lending Corp.,LPRO,0.01%,Financial Exchanges & Data,US,---,"$130,832,055.59","3,036,251"
,2330318,Exponent Inc.,EXPO,0.01%,Research & Consulting Services,US,---,"$130,366,409.03","1,461,343"
,2548616,MGIC Investment Corp.,MTG,0.01%,Thrifts & Mortgage Finance,US,---,"$130,261,860.80","9,578,078"
,2744243,Flowers Foods Inc.,FLO,0.01%,Packaged Foods & Meats,US,---,"$130,193,918.80","5,379,914"
,BKPVG43,AZEK Co. Inc.,AZEK,0.01%,Building Products,US,---,"$130,114,933.52","3,064,412"
,2813552,AMN Healthcare Services Inc.,AMN,0.01%,Health Care Services,US,---,"$129,842,642.80","1,338,860"
,2626103,National Fuel Gas Co.,NFG,0.01%,Gas Utilities,US,---,"$129,704,929.75","2,482,391"
,BD0NN55,Innovative Industrial Properties Inc.,IIPR,0.01%,Industrial REITs,US,---,"$129,544,224.42","678,171"
,2231897,Crane Co.,CR,0.01%,Industrial Machinery,US,---,"$129,543,475.17","1,402,441"
,2232685,W R Grace & Co.,GRA,0.01%,Specialty Chemicals,US,---,"$129,477,588.48","1,873,229"
,2202473,Clean Harbors Inc.,CLH,0.01%,Environmental & Facilities Services,US,---,"$129,345,473.94","1,388,721"
,BD4R405,FireEye Inc.,FEYE,0.01%,Systems Software,US,---,"$129,163,661.52","6,387,916"
,BNG96D6,Luminar Technologies Inc.,LAZR,0.01%,Auto Parts & Equipment,US,---,"$128,971,132.10","5,875,678"
,BMFZYY5,Vroom Inc.,VRM,0.01%,Automotive Retail,US,---,"$128,941,064.98","3,080,293"
,B52KRV2,Kemper Corp.,KMPR,0.01%,Property & Casualty Insurance,US,---,"$128,233,644.80","1,735,232"
,B4MF0Q6,Select Medical Holdings Corp.,SEM,0.01%,Health Care Facilities,US,---,"$128,105,865.24","3,031,374"
,B3BRJZ8,John Bean Technologies Corp.,JBT,0.01%,Industrial Machinery,US,---,"$127,916,305.86","896,903"
,BD8S5H8,Novanta Inc.,NOVT,0.01%,Electronic Equipment & Instruments,US,---,"$127,878,615.36","948,936"
,B1YWPP8,Ensign Group Inc.,ENSG,0.01%,Health Care Facilities,US,---,"$127,867,197.78","1,475,334"
,B3XS562,Air Lease Corp.,AL,0.01%,Trading Companies & Distributors,US,---,"$127,852,917.46","3,063,079"
,BMHWY55,Avient Corp.,AVNT,0.01%,Specialty Chemicals,US,---,"$127,403,350.96","2,591,606"
,2719070,RLI Corp.,RLI,0.01%,Property & Casualty Insurance,US,---,"$127,266,994.62","1,216,818"
,2471949,Itron Inc.,ITRI,0.01%,Electronic Equipment & Instruments,US,---,"$127,081,878.54","1,271,073"
,2795542,Semtech Corp.,SMTC,0.01%,Semiconductors,US,---,"$126,989,251.20","1,845,774"
,B94QHZ0,Blackstone Mortgage Trust Inc.,BXMT,<0.01%,Mortgage REITs,US,---,"$126,314,727.39","3,960,951"
,BD390V5,Sailpoint Technologies Holdings Inc.,SAIL,<0.01%,Systems Software,US,---,"$126,150,203.01","2,470,143"
,B89M5F2,PDC Energy Inc.,PDCE,<0.01%,Oil & Gas Exploration & Production,US,---,"$126,067,242.19","2,753,161"
,B3N4753,Terreno Realty Corp.,TRNO,<0.01%,Industrial REITs,US,---,"$125,324,551.28","1,942,414"
,BMCPB81,CMC Materials Inc.,CCMP,<0.01%,Semiconductor Equipment,US,---,"$124,913,715.80","828,670"
,B9HHD96,Hannon Armstrong Sustainable Infrastructure Capital Inc.,HASI,<0.01%,Mortgage REITs,US,---,"$124,425,143.30","2,215,942"
,2415204,Hawaiian Electric Industries Inc.,HE,<0.01%,Electric Utilities,US,---,"$124,174,753.36","2,936,962"
,2020415,Hanover Insurance Group Inc.,THG,<0.01%,Property & Casualty Insurance,US,---,"$123,931,826.48","913,682"
,BYWPZW7,Sonos Inc.,SONO,<0.01%,Consumer Electronics,US,---,"$123,813,580.28","3,514,436"
,BMQ60Q1,UFP Industries Inc.,UFPI,<0.01%,Building Products,US,---,"$123,157,293.84","1,656,676"
,B4PZ892,Allison Transmission Holdings Inc.,ALSN,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$123,110,148.60","3,097,890"
,2049175,Advanced Energy Industries Inc.,AEIS,<0.01%,Electronic Equipment & Instruments,US,---,"$122,679,763.05","1,088,455"
,BFRBX34,CommScope Holding Co. Inc.,COMM,<0.01%,Communications Equipment,US,---,"$122,538,232.39","5,750,269"
,BMC9RZ2,ChargePoint Holdings Inc.,CHPT,<0.01%,Electrical Components & Equipment,US,---,"$122,373,630.18","3,522,557"
,BFD1TJ6,Resideo Technologies Inc.,REZI,<0.01%,Building Products,US,---,"$122,091,270.00","4,069,709"
,2425258,Wintrust Financial Corp.,WTFC,<0.01%,Regional Banks,US,---,"$122,054,643.57","1,613,839"
,2106780,Choice Hotels International Inc.,CHH,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$121,668,067.50","1,023,625"
,2980939,Carter's Inc.,CRI,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$121,642,175.82","1,179,046"
,BLFDQC4,Asana Inc.,ASAN,<0.01%,Application Software,US,---,"$120,850,443.74","1,948,258"
,BFYF094,frontdoor Inc.,FTDR,<0.01%,Specialized Consumer Services,US,---,"$120,737,474.68","2,423,474"
,2105505,H&R Block Inc.,HRB,<0.01%,Specialized Consumer Services,US,---,"$120,625,330.20","5,137,365"
,2072074,Balchem Corp.,BCPC,<0.01%,Specialty Chemicals,US,---,"$120,205,939.10","915,785"
,2173911,Radian Group Inc.,RDN,<0.01%,Thrifts & Mortgage Finance,US,---,"$120,199,840.00","5,402,240"
,2417921,Healthcare Realty Trust Inc.,HR,<0.01%,Health Care REITs,US,---,"$119,731,675.00","3,964,625"
,2918510,UMB Financial Corp.,UMBF,<0.01%,Regional Banks,US,---,"$119,401,284.42","1,283,057"
,B1L82T2,Altra Industrial Motion Corp.,AIMC,<0.01%,Industrial Machinery,US,---,"$119,283,481.32","1,834,566"
,BYQ3PM7,Houlihan Lokey Inc.,HLI,<0.01%,Investment Banking & Brokerage,US,---,"$119,251,946.54","1,458,026"
,BSS6HY8,Workiva Inc.,WK,<0.01%,Application Software,US,---,"$119,017,893.15","1,069,055"
,B64B9P8,Hudson Pacific Properties Inc.,HPP,<0.01%,Office REITs,US,---,"$118,990,980.68","4,277,174"
,B020GQ5,EnerSys,ENS,<0.01%,Electrical Components & Equipment,US,---,"$118,410,449.84","1,211,608"
,BYP71H7,National Vision Holdings Inc.,EYE,<0.01%,Specialty Stores,US,---,"$118,136,069.52","2,310,504"
,2232050,Credit Acceptance Corp.,CACC,<0.01%,Consumer Finance,US,---,"$117,991,401.30","259,830"
,B3F1XM1,Grand Canyon Education Inc.,LOPE,<0.01%,Education Services,US,---,"$117,937,984.23","1,310,859"
,2707826,PNM Resources Inc.,PNM,<0.01%,Electric Utilities,US,---,"$117,896,402.92","2,417,396"
,B125XQ6,Portland General Electric Co.,POR,<0.01%,Electric Utilities,US,---,"$117,354,700.80","2,546,760"
,BZ07PN3,Univar Solutions Inc.,UNVR,<0.01%,Trading Companies & Distributors,US,---,"$117,347,693.26","4,813,277"
,B3NXMJ9,Wendy's Co.,WEN,<0.01%,Restaurants,US,---,"$117,317,056.56","5,009,268"
,2101741,Black Hills Corp.,BKH,<0.01%,Multi-Utilities,US,---,"$117,182,168.11","1,785,497"
,2889155,ACI Worldwide Inc.,ACIW,<0.01%,Application Software,US,---,"$117,092,875.02","3,152,743"
,BLPNRR6,Magnite Inc.,MGNI,<0.01%,Advertising,US,---,"$116,998,043.76","3,457,389"
,BF3N4P3,Arena Pharmaceuticals Inc.,ARNA,<0.01%,Biotechnology,US,---,"$116,897,800.80","1,714,044"
,BZ0P3Z5,TEGNA Inc.,TGNA,<0.01%,Broadcasting,US,---,"$116,894,160.32","6,231,032"
,BP3YM85,Trupanion Inc.,TRUP,<0.01%,Life & Health Insurance,US,---,"$116,729,931.10","1,014,161"
,2451918,ICU Medical Inc.,ICUI,<0.01%,Health Care Supplies,US,---,"$116,112,977.40","564,203"
,2484389,Umpqua Holdings Corp.,UMPQ,<0.01%,Regional Banks,US,---,"$115,595,541.45","6,265,341"
,2641827,Nordstrom Inc.,JWN,<0.01%,Department Stores,US,---,"$115,357,541.67","3,154,431"
,BYTQ6X1,Apellis Pharmaceuticals Inc.,APLS,<0.01%,Biotechnology,US,---,"$115,100,724.80","1,821,214"
,BNHTRL0,Stem Inc.,STEM,<0.01%,Electrical Components & Equipment,US,---,"$115,031,028.19","3,194,419"
,BF329G6,Evoqua Water Technologies Corp.,AQUA,<0.01%,Industrial Machinery,US,---,"$114,896,488.26","3,401,317"
,BYXB201,Viavi Solutions Inc.,VIAV,<0.01%,Communications Equipment,US,---,"$114,651,845.82","6,492,177"
,BDZDRC5,Premier Inc.,PINC,<0.01%,Health Care Services,US,---,"$114,470,128.43","3,290,317"
,2222062,Community Bank System Inc.,CBU,<0.01%,Regional Banks,US,---,"$114,424,104.90","1,512,546"
,BW9JPS4,Summit Materials Inc.,SUM,<0.01%,Construction Materials,US,---,"$114,285,765.70","3,279,362"
,B5VR4H9,Howard Hughes Corp.,HHC,<0.01%,Real Estate Development,US,---,"$114,180,335.06","1,171,561"
,BJNPYY6,Cerence Inc.,CRNC,<0.01%,Application Software,US,---,"$114,006,829.80","1,068,380"
,2173933,Callaway Golf Co.,ELY,<0.01%,Leisure Products,US,---,"$114,004,094.46","3,379,902"
,2767217,Pacific Premier Bancorp Inc.,PPBI,<0.01%,Regional Banks,US,---,"$113,695,650.04","2,688,476"
,2943620,Watts Water Technologies Inc.,WTS,<0.01%,Industrial Machinery,US,---,"$113,489,381.64","777,804"
,2216010,CONMED Corp.,CNMD,<0.01%,Health Care Equipment,US,---,"$113,465,781.18","825,626"
,B3CTNK6,Signet Jewelers Ltd.,SIG,<0.01%,Specialty Stores,US,---,"$113,275,255.05","1,402,095"
,2567655,MSC Industrial Direct Co. Inc.,MSM,<0.01%,Trading Companies & Distributors,US,---,"$113,164,694.37","1,261,169"
,B3NNTZ4,BankUnited Inc.,BKU,<0.01%,Regional Banks,US,---,"$113,011,358.64","2,647,256"
,B6ZC3N6,TripAdvisor Inc.,TRIP,<0.01%,Interactive Media & Services,US,---,"$112,864,542.70","2,800,609"
,BV0LCR0,Shake Shack Inc.,SHAK,<0.01%,Restaurants,US,---,"$112,856,335.70","1,054,535"
,2418601,Hecla Mining Co.,HL,<0.01%,Silver,US,---,"$112,607,115.60","15,135,365"
,2066505,Avnet Inc.,AVT,<0.01%,Technology Distributors,US,---,"$112,595,782.08","2,809,276"
,BLLHH27,Sabre Corp.,SABR,<0.01%,Data Processing & Outsourced Services,US,---,"$112,467,388.80","9,011,810"
,2041308,FNB Corp./PA,FNB,<0.01%,Regional Banks,US,---,"$112,120,857.54","9,093,338"
,BD3BX01,JBG SMITH Properties,JBGS,<0.01%,Office REITs,US,---,"$111,498,985.77","3,538,527"
,BJ0KXV4,ONE Gas Inc.,OGS,<0.01%,Gas Utilities,US,---,"$111,321,717.44","1,501,912"
,B8XXZP1,EPR Properties,EPR,<0.01%,Specialized REITs,US,---,"$111,313,261.44","2,113,008"
,BKV28S8,Schrodinger Inc./United States,SDGR,<0.01%,Health Care Technology,US,---,"$111,272,590.65","1,471,665"
,B3P6D26,Alkermes plc,ALKS,<0.01%,Biotechnology,US,---,"$111,115,469.52","4,531,626"
,BC9S149,Physicians Realty Trust,DOC,<0.01%,Health Care REITs,US,---,"$110,855,333.11","6,001,913"
,BF429K9,Brighthouse Financial Inc.,BHF,<0.01%,Life & Health Insurance,US,---,"$110,832,428.52","2,433,738"
,B8QV5C9,Ryman Hospitality Properties Inc.,RHP,<0.01%,Hotel & Resort REITs,US,---,"$110,793,987.36","1,403,166"
,2523334,Range Resources Corp.,RRC,<0.01%,Oil & Gas Exploration & Production,US,---,"$110,751,219.68","6,608,068"
,2386849,Korn Ferry,KFY,<0.01%,Human Resource & Employment Services,US,---,"$110,661,748.35","1,525,317"
,2577052,LivePerson Inc.,LPSN,<0.01%,Application Software,US,---,"$110,653,051.68","1,749,732"
,2946618,Weingarten Realty Investors,WRI,<0.01%,Retail REITs,US,---,"$110,582,042.22","3,448,146"
,BF3FPW3,Stitch Fix Inc.,SFIX,<0.01%,Internet & Direct Marketing Retail,US,---,"$110,257,705.80","1,828,486"
,B474ZK7,Envestnet Inc.,ENV,<0.01%,Application Software,US,---,"$110,213,276.86","1,452,851"
,BYP0CD9,Avangrid Inc.,AGR,<0.01%,Electric Utilities,US,---,"$110,158,482.73","2,141,911"
,BMDP209,Privia Health Group Inc.,PRVA,<0.01%,Health Care Services,US,---,"$110,154,337.47","2,482,631"
,B5NLBP6,Sabra Health Care REIT Inc.,SBRA,<0.01%,Health Care REITs,US,---,"$110,000,053.80","6,043,959"
,2974329,MicroStrategy Inc.,MSTR,<0.01%,Application Software,US,---,"$109,496,974.50","164,781"
,BDF9YM2,Under Armour Inc.,UA,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$109,359,472.80","5,889,040"
,BFD2WR8,Antero Resources Corp.,AR,<0.01%,Oil & Gas Exploration & Production,US,---,"$109,048,752.18","7,255,406"
,2415497,Hancock Whitney Corp.,HWC,<0.01%,Regional Banks,US,---,"$108,966,568.92","2,451,993"
,BNG1NW0,DigitalBridge Group Inc.,DBRG,<0.01%,Diversified REITs,US,---,"$108,702,254.10","13,759,779"
,2828619,Southwestern Energy Co.,SWN,<0.01%,Oil & Gas Exploration & Production,US,---,"$108,641,758.68","19,160,804"
,BZ8FPH3,Editas Medicine Inc.,EDIT,<0.01%,Biotechnology,US,---,"$108,632,234.88","1,917,942"
,BLF0L75,Shift4 Payments Inc.,FOUR,<0.01%,Data Processing & Outsourced Services,US,---,"$108,461,125.08","1,157,289"
,BMW4TN9,fuboTV Inc.,FUBO,<0.01%,Interactive Media & Services,US,---,"$108,319,007.03","3,373,373"
,2630513,New Jersey Resources Corp.,NJR,<0.01%,Gas Utilities,US,---,"$108,150,112.38","2,733,134"
,B0PZN11,Under Armour Inc.,UAA,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$108,114,252.75","5,111,785"
,2691305,Brink's Co.,BCO,<0.01%,Security & Alarm Services,US,---,"$108,036,117.92","1,405,988"
,BT6T3N7,New Relic Inc.,NEWR,<0.01%,Application Software,US,---,"$107,932,133.53","1,611,649"
,BMCWKZ2,Maravai LifeSciences Holdings Inc.,MRVI,<0.01%,Life Sciences Tools & Services,US,---,"$107,772,774.33","2,582,621"
,2760669,Ryder System Inc.,R,<0.01%,Trucking,US,---,"$107,742,301.29","1,449,513"
,B1CL8J2,Avis Budget Group Inc.,CAR,<0.01%,Trucking,US,---,"$107,711,822.19","1,382,871"
,BMC73Z8,QuantumScape Corp.,QS,<0.01%,Auto Parts & Equipment,US,---,"$107,353,623.30","3,668,955"
,BYN7H26,Alarm.com Holdings Inc.,ALRM,<0.01%,Application Software,US,---,"$107,206,653.40","1,265,722"
,B7MSLL8,Matador Resources Co.,MTDR,<0.01%,Oil & Gas Exploration & Production,US,---,"$107,185,529.49","2,976,549"
,2774336,Sanderson Farms Inc.,SAFM,<0.01%,Packaged Foods & Meats,US,---,"$106,971,471.36","569,088"
,2746700,Rogers Corp.,ROG,<0.01%,Electronic Components,US,---,"$106,755,520.80","531,651"
,BYY9FX8,Reata Pharmaceuticals Inc.,RETA,<0.01%,Pharmaceuticals,US,---,"$106,710,364.81","753,977"
,2855930,Overstock.com Inc.,OSTK,<0.01%,Internet & Direct Marketing Retail,US,---,"$106,605,328.00","1,156,240"
,BF1GM49,Cardlytics Inc.,CDLX,<0.01%,Advertising,US,---,"$105,968,906.73","834,861"
,2677606,Axis Capital Holdings Ltd.,AXS,<0.01%,Property & Casualty Insurance,US,---,"$105,753,287.90","2,157,790"
,2144047,Mercury Systems Inc.,MRCY,<0.01%,Aerospace & Defense,US,---,"$105,580,129.48","1,592,941"
,2503206,Lancaster Colony Corp.,LANC,<0.01%,Packaged Foods & Meats,US,---,"$105,571,315.60","545,560"
,BVB3BV2,Box Inc.,BOX,<0.01%,Application Software,US,---,"$105,282,352.00","4,120,640"
,2458878,Blackbaud Inc.,BLKB,<0.01%,Application Software,US,---,"$105,155,571.82","1,373,326"
,BYMWL19,Glaukos Corp.,GKOS,<0.01%,Health Care Equipment,US,---,"$105,033,961.10","1,238,170"
,BDC6HG1,First Hawaiian Inc.,FHB,<0.01%,Regional Banks,US,---,"$104,815,121.58","3,698,487"
,2213260,Commercial Metals Co.,CMC,<0.01%,Steel,US,---,"$104,732,897.28","3,409,274"
,BLF9ZT2,Dun & Bradstreet Holdings Inc.,DNB,<0.01%,Research & Consulting Services,US,---,"$104,373,665.77","4,884,121"
,BMGNTQ5,Lemonade Inc.,LMND,<0.01%,Property & Casualty Insurance,US,---,"$104,325,060.84","953,524"
,B17MTL9,Home BancShares Inc./AR,HOMB,<0.01%,Regional Banks,US,---,"$104,021,782.28","4,214,821"
,B7KH3G6,Ambarella Inc.,AMBA,<0.01%,Semiconductors,US,---,"$103,492,198.99","970,573"
,2493534,Kirby Corp.,KEX,<0.01%,Marine,US,---,"$103,358,575.68","1,704,462"
,B02R1L6,ALLETE Inc.,ALE,<0.01%,Electric Utilities,US,---,"$103,340,935.58","1,476,721"
,2923741,Sensient Technologies Corp.,SXT,<0.01%,Specialty Chemicals,US,---,"$103,292,567.36","1,193,306"
,BN93088,Broadstone Net Lease Inc.,BNL,<0.01%,Diversified REITs,US,---,"$103,037,031.51","4,401,411"
,BMZQZL2,Denbury Inc.,DEN,<0.01%,Oil & Gas Exploration & Production,US,---,"$102,807,191.52","1,338,984"
,BG3G1B4,LGI Homes Inc.,LGIH,<0.01%,Homebuilding,US,---,"$102,674,818.20","634,030"
,BJJD5G3,Xerox Holdings Corp.,XRX,<0.01%,"Technology Hardware, Storage & Periphera",US,---,"$102,551,326.56","4,365,744"
,BWD7PX9,Aerojet Rocketdyne Holdings Inc.,AJRD,<0.01%,Aerospace & Defense,US,---,"$102,536,668.08","2,123,352"
,2831888,Southwest Gas Holdings Inc.,SWX,<0.01%,Gas Utilities,US,---,"$101,696,169.32","1,536,428"
,2466428,UniFirst Corp./MA,UNF,<0.01%,Diversified Support Services,US,---,"$101,378,558.40","432,060"
,2485070,KB Home,KBH,<0.01%,Homebuilding,US,---,"$101,198,199.12","2,485,221"
,2543967,Macerich Co.,MAC,<0.01%,Retail REITs,US,---,"$101,096,915.25","5,539,557"
,BD1MGQ3,Kinsale Capital Group Inc.,KNSL,<0.01%,Property & Casualty Insurance,US,---,"$100,714,838.65","611,245"
,B4JSZL8,Fabrinet,FN,<0.01%,Electronic Manufacturing Services,US,---,"$100,419,031.50","1,047,450"
,2086309,Applied Industrial Technologies Inc.,AIT,<0.01%,Trading Companies & Distributors,US,---,"$100,174,832.82","1,100,097"
,BDBBB21,Triton International Ltd.,TRTN,<0.01%,Trading Companies & Distributors,US,---,"$100,105,536.34","1,912,601"
,BYXJQG9,Spire Inc.,SR,<0.01%,Gas Utilities,US,---,"$100,104,284.61","1,385,143"
,B57VWJ3,SPS Commerce Inc.,SPSC,<0.01%,Application Software,US,---,"$100,094,432.80","1,002,448"
,BYSLHX4,Hilton Grand Vacations Inc.,HGV,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$99,943,149.91","2,414,669"
,2944742,WD-40 Co.,WDFC,<0.01%,Household Products,US,---,"$99,660,673.11","388,859"
,BKLJ8S9,Arconic Corp.,ARNC,<0.01%,Aluminum,US,---,"$99,565,202.10","2,795,205"
,2231091,Cracker Barrel Old Country Store Inc.,CBRL,<0.01%,Restaurants,US,---,"$99,534,116.24","670,444"
,2475060,Insight Enterprises Inc.,NSIT,<0.01%,Technology Distributors,US,---,"$99,513,050.31","995,031"
,2512149,Kratos Defense & Security Solutions Inc.,KTOS,<0.01%,Aerospace & Defense,US,---,"$99,372,407.75","3,487,975"
,BFMWBV6,Equitrans Midstream Corp.,ETRN,<0.01%,Oil & Gas Storage & Transportation,US,---,"$98,939,208.79","11,626,229"
,BSP6611,Outfront Media Inc.,OUT,<0.01%,Specialized REITs,US,---,"$98,878,019.22","4,114,774"
,BDD1BB8,Bloom Energy Corp.,BE,<0.01%,Heavy Electrical Equipment,US,---,"$98,874,318.23","3,679,729"
,B00GJC2,NuVasive Inc.,NUVA,<0.01%,Health Care Equipment,US,---,"$98,767,457.06","1,457,177"
,B013D75,Stamps.com Inc.,STMP,<0.01%,Internet & Direct Marketing Retail,US,---,"$98,511,835.34","491,846"
,BVZCNC0,Chimera Investment Corp.,CIM,<0.01%,Mortgage REITs,US,---,"$98,435,051.52","6,536,192"
,BMF9NM8,Affirm Holdings Inc.,AFRM,<0.01%,Data Processing & Outsourced Services,US,---,"$98,195,155.05","1,457,983"
,BDRYFB1,Spectrum Brands Holdings Inc.,SPB,<0.01%,Household Products,US,---,"$97,853,487.04","1,150,676"
,BMXL9H3,Eastern Bankshares Inc.,EBC,<0.01%,Regional Banks,US,---,"$97,790,685.08","4,754,044"
,B2PFJR3,Dana Inc.,DAN,<0.01%,Auto Parts & Equipment,US,---,"$97,754,698.80","4,114,255"
,BLG38Q1,Moelis & Co.,MC,<0.01%,Investment Banking & Brokerage,US,---,"$97,746,349.96","1,718,164"
,2139151,Lexington Realty Trust,LXP,<0.01%,Industrial REITs,US,---,"$97,501,280.85","8,159,103"
,B142B38,CommVault Systems Inc.,CVLT,<0.01%,Systems Software,US,---,"$97,092,611.90","1,242,070"
,B0C8KV2,AtriCure Inc.,ATRC,<0.01%,Health Care Equipment,US,---,"$97,013,767.62","1,222,914"
,B15JLG1,Vonage Holdings Corp.,VG,<0.01%,Application Software,US,---,"$96,978,449.81","6,729,941"
,2946243,Viasat Inc.,VSAT,<0.01%,Communications Equipment,US,---,"$96,848,838.80","1,943,195"
,2580555,Merit Medical Systems Inc.,MMSI,<0.01%,Health Care Supplies,US,---,"$96,823,112.54","1,497,419"
