Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2126335,Bristol-Myers Squibb Co.,BMY,0.33%,Pharmaceuticals,US,---,"$4,214,314,814.84","63,069,662"
,2297907,Citigroup Inc.,C,0.33%,Diversified Banks,US,---,"$4,130,702,596.75","58,384,489"
,2914734,Union Pacific Corp.,UNP,0.33%,Railroads,US,---,"$4,126,457,738.28","18,762,596"
,2328915,NextEra Energy Inc.,NEE,0.32%,Electric Utilities,US,---,"$4,059,955,069.76","55,403,317"
,2108601,Boeing Co.,BA,0.31%,Aerospace & Defense,US,---,"$3,957,187,910.52","16,518,567"
,2023607,Amgen Inc.,AMGN,0.31%,Biotechnology,US,---,"$3,955,761,225.00","16,228,764"
,2536763,Lowe's Cos. Inc.,LOW,0.31%,Home Improvement Retail,US,---,"$3,917,256,349.02","20,195,166"
,2262314,Morgan Stanley,MS,0.30%,Investment Banking & Brokerage,US,---,"$3,855,071,024.42","42,044,618"
,2661568,Oracle Corp.,ORCL,0.30%,Systems Software,US,---,"$3,804,096,689.12","48,870,718"
,2842255,Starbucks Corp.,SBUX,0.29%,Restaurants,US,---,"$3,721,193,334.00","33,281,400"
,2005973,International Business Machines Corp.,IBM,0.29%,IT Consulting & Other Services,US,---,"$3,699,831,332.44","25,239,316"
,2046552,Applied Materials Inc.,AMAT,0.29%,Semiconductor Equipment,US,---,"$3,691,509,390.40","25,923,521"
,BM5M5Y3,Raytheon Technologies Corp.,RTX,0.29%,Aerospace & Defense,US,---,"$3,650,458,152.17","42,790,507"
,2407966,Goldman Sachs Group Inc.,GS,0.29%,Investment Banking & Brokerage,US,---,"$3,642,490,974.69","9,597,373"
,2459020,Intuit Inc.,INTU,0.28%,Application Software,US,---,"$3,594,562,680.66","7,333,298"
,B7FBFL2,American Tower Corp.,AMT,0.27%,Specialized REITs,US,---,"$3,460,520,684.14","12,810,101"
,2494504,BlackRock Inc.,BLK,0.27%,Asset Management & Custody Banks,US,---,"$3,392,542,180.28","3,877,324"
,2259101,Target Corp.,TGT,0.27%,General Merchandise Stores,US,---,"$3,387,414,868.38","14,012,637"
,2180201,Caterpillar Inc.,CAT,0.27%,Construction Machinery & Heavy Trucks,US,---,"$3,367,397,259.94","15,473,038"
,2380498,General Electric Co.,GE,0.26%,Industrial Conglomerates,US,---,"$3,337,808,404.12","247,979,822"
,2595708,3M Co.,MMM,0.26%,Industrial Conglomerates,US,---,"$3,252,337,825.50","16,373,850"
,2007849,Advanced Micro Devices Inc.,AMD,0.25%,Semiconductors,US,---,"$3,223,911,673.56","34,322,492"
,2779397,Charles Schwab Corp.,SCHW,0.25%,Investment Banking & Brokerage,US,---,"$3,159,170,491.59","43,389,239"
,2577609,CVS Health Corp.,CVS,0.24%,Health Care Services,US,---,"$3,103,060,756.88","37,189,127"
,2871301,Intuitive Surgical Inc.,ISRG,0.24%,Health Care Equipment,US,---,"$3,076,086,362.84","3,344,881"
,B80NXX8,ServiceNow Inc.,NOW,0.24%,Systems Software,US,---,"$3,065,449,251.40","5,578,108"
,2026082,American Express Co.,AXP,0.22%,Consumer Finance,US,---,"$2,811,623,407.06","17,016,422"
,2261203,Deere & Co.,DE,0.22%,Agricultural & Farm Machinery,US,---,"$2,810,536,127.55","7,968,405"
,BYV2325,S&P Global Inc.,SPGI,0.22%,Financial Exchanges & Data,US,---,"$2,792,923,853.45","6,804,541"
